Alue,Vuosi,Kesämökkejä (lkm)
Kiuruvesi,1970,234
Kiuruvesi,1980,396
Kiuruvesi,1990,837
Kiuruvesi,1995,954
Kiuruvesi,2000,1014
Kiuruvesi,2005,1037
Kiuruvesi,2010,1092
Kiuruvesi,2015,1148
Kiuruvesi,2020,975
Kiuruvesi,2021,965
Kiuruvesi,2022,966
Kivijärvi,1970,132
Kivijärvi,1980,222
Kivijärvi,1990,387
Kivijärvi,1995,477
Kivijärvi,2000,635
Kivijärvi,2005,708
Kivijärvi,2010,730
Kivijärvi,2015,757
Kivijärvi,2020,753
Kivijärvi,2021,752
Kivijärvi,2022,753
Kokemäki,1970,591
Kokemäki,1980,783
Kokemäki,1990,1081
Kokemäki,1995,1229
Kokemäki,2000,1289
Kokemäki,2005,1337
Kokemäki,2010,1339
Kokemäki,2015,1338
Kokemäki,2020,1246
Kokemäki,2021,1268
Kokemäki,2022,1259
Kokkola,1970,1832
Kokkola,1980,2070
Kokkola,1990,1511
Kokkola,1995,1689
Kokkola,2000,1915
Kokkola,2005,2042
Kokkola,2010,2180
Kokkola,2015,2244
Kokkola,2020,2660
Kokkola,2021,2685
Kokkola,2022,2735
Kolari,1970,84
Kolari,1980,281
Kolari,1990,1078
Kolari,1995,1230
Kolari,2000,1354
Kolari,2005,1825
Kolari,2010,2131
Kolari,2015,2369
Kolari,2020,3009
Kolari,2021,3045
Kolari,2022,3128
Konnevesi,1970,322
Konnevesi,1980,644
Konnevesi,1990,775
Konnevesi,1995,954
Konnevesi,2000,1063
Konnevesi,2005,1157
Konnevesi,2010,1197
Konnevesi,2015,1217
Konnevesi,2020,1235
Konnevesi,2021,1234
Konnevesi,2022,1241
Kontiolahti,1970,598
Kontiolahti,1980,784
Kontiolahti,1990,1229
Kontiolahti,1995,1421
Kontiolahti,2000,1553
Kontiolahti,2005,1559
Kontiolahti,2010,1573
Kontiolahti,2015,1572
Kontiolahti,2020,1519
Kontiolahti,2021,1515
Kontiolahti,2022,1511
Korsnäs,1970,384
Korsnäs,1980,590
Korsnäs,1990,868
Korsnäs,1995,951
Korsnäs,2000,962
Korsnäs,2005,996
Korsnäs,2010,995
Korsnäs,2015,974
Korsnäs,2020,993
Korsnäs,2021,997
Korsnäs,2022,991
Koski Tl,1970,58
Koski Tl,1980,117
Koski Tl,1990,217
Koski Tl,1995,257
Koski Tl,2000,267
Koski Tl,2005,255
Koski Tl,2010,262
Koski Tl,2015,269
Koski Tl,2020,201
Koski Tl,2021,201
Koski Tl,2022,204
Kotka,1970,1163
